data_name,order,lr,hidden_dim
DD,C-M,0.0040470911146426,64
ENZYMES,BFS,0.004720231744372,64
ENZYMES,C-M,0.0019012444727702,64
PROTEINS,BFS,0.0044986736240542,64
PROTEINS,C-M,0.0009090101489487,64
SBM,BFS,0.0016207582594182,64
SBM,C-M,0.0008632351423608,64
community2,BFS,0.0029193628331748,64
community2,C-M,0.0060721910764923,64
grid2d,BFS,0.0001088576995719,64
grid2d,C-M,0.0001168832826488,64
peptides,BFS,0.0002635198663059,128
peptides,C-M,0.0008930684089794,128
planar,BFS,0.0035977128759883,64
planar,C-M,0.0004700802888629,64
zinc250k,BFS,0.0005775381686457,128
zinc250k,C-M,0.0019835775852615,128
